"cohort","subtype","model","time_months","brier","ibs"
"Training cohort","IDHmut-codel","Clinicoradiologic",30,0.1719687682796962,0.14029353748199033
"Training cohort","IDHmut-codel","Clinicoradiologic",36,0.18881860782382495,0.14029353748199033
"Training cohort","IDHmut-codel","3D-CNN",6,0.04969285653900747,0.13463543578219497
"Training cohort","IDHmut-codel","3D-CNN",12,0.0999761161939019,0.13463543578219497
"Training cohort","IDHmut-codel","3D-CNN",18,0.13394473084623573,0.13463543578219497
"Training cohort","IDHmut-codel","3D-CNN",24,0.15643470094642895,0.13463543578219497
"Training cohort","IDHmut-codel","3D-CNN",30,0.1691291689773239,0.13463543578219497
"Training cohort","IDHmut-codel","3D-CNN",36,0.17769206735516138,0.13463543578219497
"Training cohort","IDHmut-codel","3D-ViT",6,0.046413735294571934,0.12138263034342311
"Training cohort","IDHmut-codel","3D-ViT",12,0.0901790532081729,0.12138263034342311
"Training cohort","IDHmut-codel","3D-ViT",18,0.12295528684540338,0.12138263034342311
"Training cohort","IDHmut-codel","3D-ViT",24,0.14173351065334633,0.12138263034342311
"Training cohort","IDHmut-codel","3D-ViT",30,0.15053316089878127,0.12138263034342311
"Training cohort","IDHmut-codel","3D-ViT",36,0.15661054492825144,0.12138263034342311
"Training cohort","IDHmut-codel","CR-ViT",6,0.047050656130444415,0.1134021384343726
"Training cohort","IDHmut-codel","CR-ViT",12,0.09158425868896335,0.1134021384343726
"Training cohort","IDHmut-codel","CR-ViT",18,0.11739644485214773,0.1134021384343726
"Training cohort","IDHmut-codel","CR-ViT",24,0.1280214707384651,0.1134021384343726
"Training cohort","IDHmut-codel","CR-ViT",30,0.13411700935359883,0.1134021384343726
"Training cohort","IDHmut-codel","CR-ViT",36,0.14473236094693165,0.1134021384343726
"Training cohort","GBM","Clinicoradiologic",6,0.21999006385762546,0.16832857570319829
"Training cohort","GBM","Clinicoradiologic",12,0.21372695071878,0.16832857570319829
"Training cohort","GBM","Clinicoradiologic",18,0.18790196334743323,0.16832857570319829
"Training cohort","GBM","Clinicoradiologic",24,0.1491876678345011,0.16832857570319829
"Training cohort","GBM","Clinicoradiologic",30,0.12325653004079663,0.16832857570319829
"Training cohort","GBM","Clinicoradiologic",36,0.11514946929133552,0.16832857570319829
"Training cohort","GBM","3D-CNN",6,0.22475561038459144,0.15646532369395397
"Training cohort","GBM","3D-CNN",12,0.20493556128011015,0.15646532369395397
"Training cohort","GBM","3D-CNN",18,0.16837665073420277,0.15646532369395397
"Training cohort","GBM","3D-CNN",24,0.12973958642509273,0.15646532369395397
"Training cohort","GBM","3D-CNN",30,0.11445869438390628,0.15646532369395397
"Training cohort","GBM","3D-CNN",36,0.10487664090832416,0.15646532369395397
"Training cohort","GBM","3D-ViT",6,0.2030700392477558,0.13495961145413035
"Training cohort","GBM","3D-ViT",12,0.18096400383770878,0.13495961145413035
"Training cohort","GBM","3D-ViT",18,0.14502713733501993,0.13495961145413035
"Training cohort","GBM","3D-ViT",24,0.1071996062691571,0.13495961145413035
"Training cohort","GBM","3D-ViT",30,0.09700267310272269,0.13495961145413035
"Training cohort","GBM","3D-ViT",36,0.08613923420433085,0.13495961145413035
"Training cohort","GBM","CR-ViT",6,0.18118246008030378,0.12076753803594274
"Training cohort","GBM","CR-ViT",12,0.16659794090315455,0.12076753803594274
"Training cohort","GBM","CR-ViT",18,0.13632853535438952,0.12076753803594274
"Training cohort","GBM","CR-ViT",24,0.09343573467064445,0.12076753803594274
"Training cohort","GBM","CR-ViT",30,0.07900186053173491,0.12076753803594274
"Training cohort","GBM","CR-ViT",36,0.07576477735927674,0.12076753803594274
"Temporal validation cohort","IDHmut-intact","Clinicoradiologic",6,0.06198225373728723,0.19708235543348065
"Temporal validation cohort","IDHmut-intact","Clinicoradiologic",12,0.13088789761481492,0.19708235543348065
