"cohort","subtype","comparison","metric","difference","ci_low","ci_high","p_value","p_formatted"
"Training cohort","GBM","3D-CNN vs Clinicoradiologic","iauc",0.0758801955759244,0.022967637701436665,0.13364020306694127,0.01847502290212982,"0.018"
"Training cohort","GBM","3D-CNN vs Clinicoradiologic","ibs",-0.011863252009244318,-0.023098895386181317,-0.002032166336972411,0.05503752532318949,"0.055"
"Training cohort","GBM","3D-ViT vs Clinicoradiologic","cindex",0.059524729520865516,0.022086033997831746,0.10725120889772574,0.011309128644871904,"0.011"
"Training cohort","GBM","3D-ViT vs Clinicoradiologic","iauc",0.14390904566208185,0.0925696230014823,0.21385089431717874,1.2856826258588181e-5,"<0.001"
"Training cohort","GBM","3D-ViT vs Clinicoradiologic","ibs",-0.033368964249067934,-0.048795947803888726,-0.019783877087206907,4.6773606622845036e-5,"<0.001"
"Training cohort","GBM","CR-ViT vs Clinicoradiologic","cindex",0.09127382792375072,0.06852420100275308,0.12324088792126875,4.0972942074529334e-9,"<0.001"
"Training cohort","GBM","CR-ViT vs Clinicoradiologic","iauc",0.17661861611409158,0.13664420631207919,0.22787135175785594,2.3020016042115887e-12,"<0.001"
"Training cohort","GBM","CR-ViT vs Clinicoradiologic","ibs",-0.04756103766725554,-0.05991405258123049,-0.03658158617872843,3.2711356272126404e-13,"<0.001"
"Training cohort","GBM","3D-ViT vs 3D-CNN","cindex",0.04928516228748059,0.026807945251016943,0.06618490652015123,1.3458443305854956e-6,"<0.001"
"Training cohort","GBM","3D-ViT vs 3D-CNN","iauc",0.06802885008615744,0.04102863273806813,0.09158105766131883,4.22288819604842e-8,"<0.001"
"Training cohort","GBM","3D-ViT vs 3D-CNN","ibs",-0.021505712239823616,-0.03028378175458333,-0.013913926700217256,5.5794520329084345e-6,"<0.001"
"Training cohort","GBM","CR-ViT vs 3D-CNN","cindex",0.08103426069036579,0.0550090821140168,0.10368736137797252,1.524843553873478e-9,"<0.001"
"Training cohort","GBM","CR-ViT vs 3D-CNN","iauc",0.10073842053816717,0.06872275963646052,0.1254971954825433,2.955606589317433e-11,"<0.001"
"Training cohort","GBM","CR-ViT vs 3D-CNN","ibs",-0.035697785658011225,-0.048720770001373856,-0.026103965829942573,1.3681603776957703e-9,"<0.001"
"Training cohort","GBM","CR-ViT vs 3D-ViT","cindex",0.0317490984028852,0.012526345994850372,0.05349013165062615,0.0027398172876118643,"0.003"
"Training cohort","GBM","CR-ViT vs 3D-ViT","iauc",0.03270957045200973,0.013131323049344673,0.05483967781474647,0.0027319760527672364,"0.003"
"Training cohort","GBM","CR-ViT vs 3D-ViT","ibs",-0.014192073418187609,-0.022643233378997277,-0.007988979395525777,6.660736953650607e-4,"<0.001"
"Temporal validation cohort","IDHmut-intact","3D-CNN vs Clinicoradiologic","cindex",-0.009168303863785199,-0.13063422400076294,0.10954977777489762,0.8765098380664533,"0.877"
"Temporal validation cohort","IDHmut-intact","3D-CNN vs Clinicoradiologic","iauc",-0.01639144863197206,-0.15263303903499897,0.11055547362069085,0.8095698762758141,"0.810"
"Temporal validation cohort","IDHmut-intact","3D-CNN vs Clinicoradiologic","ibs",-0.006953990869490001,-0.025680319652143423,0.012686326260737929,0.5268752810438002,"0.527"
"Temporal validation cohort","IDHmut-intact","3D-ViT vs Clinicoradiologic","cindex",0.06401440733464314,-0.05159830515516771,0.19383450698528157,0.3217200891549706,"0.322"
"Temporal validation cohort","IDHmut-intact","3D-ViT vs Clinicoradiologic","iauc",0.07610027919831985,-0.07703407925234153,0.22297282822574482,0.2907147343327566,"0.291"
